PARAM,HORIZON,LANES,MARGIN,NUM_VEHICLES,PARK_CAP_MULT,AIR_SPEED,MAX_ENDURANCE,OPERATIONAL_CAP,TAT,NETWORKS,WEATHER_SCEN,WEATHER_CUTOFF,FIXED_DIR,DEM_MIN_VERT,DEMAND_ALPHA,TIME_DISC,NUM_ROUTES,PP_ALGO,TPR,KNN,PRED_TYPE,SEEDS,TIME_LIMIT,OPT_GAP
1,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,1,0,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
2,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,1,1,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
3,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,2,1,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
4,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,3,1,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
5,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,4,1,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
6,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,5,1,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
7,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,6,1,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
8,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,7,1,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
9,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,8,1,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
10,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,1,2,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
11,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,2,2,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
12,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,3,2,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
13,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,4,2,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
14,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,5,2,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
15,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,6,2,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
16,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,7,2,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
17,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,8,2,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
18,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,1,3,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
19,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,2,3,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
20,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,3,3,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
21,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,4,3,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
22,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,5,3,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
23,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,6,3,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
24,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,7,3,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
25,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,8,3,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
26,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,1,4,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
27,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,2,4,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
28,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,3,4,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
29,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,4,4,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
30,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,5,4,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
31,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,6,4,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
32,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,7,4,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
33,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,8,4,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
34,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,1,0,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
35,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,1,1,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
36,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,2,1,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
37,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,3,1,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
38,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,4,1,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
39,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,5,1,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
40,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,6,1,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
41,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,7,1,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
42,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,8,1,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
43,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,1,2,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
44,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,2,2,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
45,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,3,2,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
46,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,4,2,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
47,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,5,2,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
48,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,6,2,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
49,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,7,2,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
50,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,8,2,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
51,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,1,3,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
52,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,2,3,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
53,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,3,3,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
54,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,4,3,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
55,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,5,3,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
56,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,6,3,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
57,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,7,3,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
58,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,8,3,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
59,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,1,4,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
60,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,2,4,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
61,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,3,4,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
62,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,4,4,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
63,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,5,4,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
64,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,6,4,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
65,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,7,4,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
66,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,8,4,0,5.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
67,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,1,0,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
68,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,1,1,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
69,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,2,1,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
70,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,3,1,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
71,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,4,1,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
72,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,5,1,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
73,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,6,1,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
74,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,7,1,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
75,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,8,1,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
76,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,1,2,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
77,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,2,2,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
78,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,3,2,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
79,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,4,2,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
80,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,5,2,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
81,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,6,2,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
82,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,7,2,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
83,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,8,2,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
84,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,1,3,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
85,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,2,3,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
86,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,3,3,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
87,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,4,3,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
88,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,5,3,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
89,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,6,3,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
90,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,7,3,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
91,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,8,3,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
92,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,1,4,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
93,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,2,4,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
94,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,3,4,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
95,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,4,4,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
96,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,5,4,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
97,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,6,4,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
98,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,7,4,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
99,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,8,4,0,10.0,30.0,1,1,backward_one,0.0,1,Oracle,405,1800,0.01
100,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,1,0,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,3453,1800,0.01
101,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,1,1,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,3453,1800,0.01
102,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,2,1,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,3453,1800,0.01
103,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,3,1,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,3453,1800,0.01
104,180,4,5.0,5,2.0,100.0,90,1,15,Victor_Network,4,1,0,2.0,30.0,1,1,backward_one,0.0,1,Oracle,3453,1800,0.01
